2293,3,2
1360,6,17
1644,7,1
12600,2,1
10077,6,1
2078,6,1
6060,2,1
129,2,4
1662,5,1
5784,7,1
1839,8,2
819,5,2
3147,9,1
4682,10,1
7989,10,1
20381,2,1
1086,9,1
375,7,2
843,3,4
613,2,2
19533,9,1
429,4,2
10401,3,1
6427,8,2
1863,1,1
6997,3,1
4260,5,1
732,9,1
1428,6,1
704,3,1
189,3,1
9859,10,1
14694,3,1
5289,9,1
1030,1,1
1681,8,2
1140,8,1
4992,8,1
4215,1,2
2326,9,1
2501,1,1
58,2,8
6309,8,1
16144,2,1
58,6,3
997,7,2
562,6,2
167,9,14
1739,6,1
720,8,5
12192,2,1
4893,6,2
159,6,1
16356,3,1
2427,3,7
2267,9,1
3494,9,1
8499,10,1
10858,3,1
8793,7,1
6094,1,1
11117,8,1
912,1,1
2939,8,1
633,8,2
4051,1,1
3075,2,1
9490,4,1
1529,10,1
10983,9,1
731,3,4
2,4,1
5405,8,1
10814,9,1
2633,3,2
1336,6,1
470,7,4
1898,6,2
1158,6,1
2470,7,3
1067,4,1
1153,3,1
110,2,9
348,8,3
17177,3,1
17753,1,1
6056,6,1
1682,2,1
2050,9,2
4478,6,1
108,1,11
2134,9,1
44,8,2
1975,3,1
3291,1,1
2906,7,1
17222,9,1
28616,2,1
220,9,11
13769,6,1
8446,4,1
3748,8,1
7187,6,2
1573,1,1
492,8,1
3490,4,2
7441,7,1
1294,9,2
12483,6,1
737,1,2
536,10,4
613,3,4
213,2,5
1431,5,1
717,9,8
902,2,1
6010,1,2
651,10,1
1771,7,1
15616,1,1
55,8,2
12519,1,2
707,2,4
28204,9,1
66,1,2
363,9,11
1241,10,2
12584,3,1
7382,5,1
2592,3,2
617,9,3
949,6,2
2519,4,1
17,7,1
128,7,1
4016,2,1
170,5,2
395,6,6
1065,8,2
681,2,1
1421,3,3
107,10,17
1232,9,4
10666,2,1
651,8,2
3586,1,1
2448,8,1
6882,4,2
13332,7,1
3905,3,1
6820,9,1
129,7,4
5899,2,1
455,1,1
4896,1,1
9361,10,1
1674,1,1
7398,3,2
25117,6,1
3674,6,1
7244,4,1
2486,4,10
17174,2,1
2076,7,1
972,7,1
3438,10,1
5370,9,2
1191,4,2
15355,6,1
2551,9,1
2238,3,1
1148,9,1
781,7,3
1043,7,1
3606,3,1
1074,2,1
333,10,2
1497,1,2
9553,6,1
3907,3,1
5370,2,2
3242,3,1
1388,7,2
11939,8,1
597,3,1
4066,7,1
498,7,1
764,7,4
26870,3,1
1333,8,1
4893,8,1
1232,4,3
4015,7,1
4407,5,1
523,7,1
4788,2,1
685,6,1
353,10,1
7547,9,1
12799,6,1
1512,3,9
6823,2,1
26097,3,1
123,3,7
343,6,3
3880,10,1
4694,9,1
1393,8,1
1072,2,5
1304,1,1
624,1,1
3953,10,1
6187,1,1
2127,6,2
4370,7,1
22749,3,1
3233,3,4
2420,8,1
741,4,1
679,6,3
12691,3,1
4691,4,1
27141,7,1
1231,2,12
41,10,63
72,7,24
1396,2,1
3293,10,2
2328,9,1
21282,2,1
288,7,1
2330,7,4
7725,3,1
13263,6,1
254,6,26
21797,1,1
1533,3,1
8071,3,1
340,4,1
56,5,2
52,2,6
1843,8,1
1832,6,1
943,9,1
2953,3,1
4455,2,4
8404,3,1
2573,4,1
1031,6,1
2786,1,1
10814,10,1
1114,3,1
10554,4,1
1702,7,1
290,4,1
473,9,1
8234,8,1
299,7,1
660,9,7
3628,10,2
2077,9,1
2439,4,2
999,6,10
2163,2,1
11614,2,1
19112,6,1
1863,3,2
1225,8,1
8038,8,1
5813,9,1
1267,2,2
1969,7,2
3976,6,1
12035,7,1
582,6,1
9107,10,1
14418,1,1
2175,8,2
1808,2,4
2551,5,1
1147,6,1
5186,7,2
3046,3,1
27684,7,1
2167,3,1
8992,3,1
6847,10,1
26913,9,1
123,4,7
16504,10,1
2357,9,1
61,8,1
1360,1,15
871,4,1
1371,10,1
17936,3,2
6200,6,1
24,3,2
149,6,8
1802,3,1
198,10,1
138,7,4
460,7,7
182,8,1
1696,3,8
1232,5,1
2301,2,1
424,6,1
3810,9,1
8144,2,1
2335,9,1
942,6,1
11719,3,1
948,8,1
17046,8,1
452,6,6
13,6,4
15694,7,1
3009,7,1
618,4,2
562,1,6
4048,10,1
166,4,1
4492,2,1
1566,9,1
1955,6,1
415,1,2
8635,1,1
985,2,10
31,10,1
2739,5,1
2322,10,1
2342,7,1
25360,2,1
2174,3,1
3936,2,1
173,9,3
545,10,9
4150,7,1
215,8,7
22881,7,1
1213,4,2
754,7,13
1783,3,1
4846,4,1
7725,4,1
1072,3,8
1506,2,1
129,6,5
796,4,3
4449,7,1
16906,6,1
22942,1,2
9373,8,1
35,7,8
6924,7,1
594,7,4
1633,4,2
15866,3,1
297,1,2
4831,6,2
530,10,3
3976,2,2
2013,1,1
9945,4,1
624,9,2
7795,4,1
1130,1,3
170,7,29
2353,4,2
1809,1,1
20376,8,1
3814,4,1
108,8,7
1329,6,1
1252,4,2
70,6,4
1924,4,1
69,3,39
21257,8,1
1300,7,3
2259,3,2
3340,8,2
1563,7,2
5023,4,1
108,7,4
434,2,14
12991,9,1
594,8,3
5816,1,1
480,2,2
11,10,6
474,3,1
5760,3,2
3426,4,1
1579,6,1
5095,10,1
7851,1,1
5497,8,1
12691,10,1
1262,4,1
2535,3,2
13850,2,2
13259,5,1
192,4,1
20818,4,1
4057,1,1
342,4,6
3827,3,1
2046,7,1
934,2,5
11,6,14
738,10,1
3006,6,1
7609,9,1
3287,10,1
252,2,2
347,1,11
4692,2,1
6024,1,1
1820,3,4
1581,10,3
319,3,2
480,6,5
1255,4,3
2535,2,3
3234,10,1
101,1,7
3254,8,3
3768,10,1
4084,4,1
151,10,1
5402,10,1
19379,2,1
6758,2,2
647,8,8
1613,10,1
954,6,1
1122,1,1
122,4,5
2099,8,2
2081,2,1
882,3,4
306,2,4
1001,6,1
15360,7,1
3962,1,1
1304,6,3
500,3,1
772,1,2
4173,7,1
268,8,8
499,1,4
20448,10,1
2669,6,2
939,10,1
19798,6,1
13268,8,1
87,4,13
2994,6,1
368,6,37
1269,3,1
10518,1,1
2343,7,2
1057,4,2
19276,1,1
2104,10,1
516,1,1
2521,2,3
777,5,1
3035,7,3
1274,10,2
12778,10,1
176,10,1
2023,8,1
1614,8,2
4352,1,1
1269,10,3
26885,3,1
942,7,1
3995,9,1
6544,7,1
501,1,1
1478,4,1
9825,2,1
7550,1,1
2439,9,1
365,7,1
361,1,1
225,9,2
620,7,5
4550,7,1
4899,7,2
2175,9,3
993,1,2
823,9,1
22035,10,1
18,7,1
1238,9,1
4317,6,1
11679,3,1
7152,10,1
2432,7,3
2349,2,1
6771,7,1
1315,7,4
17982,1,1
10231,1,3
3546,4,1
2319,8,2
24375,10,1
640,10,3
138,8,2
6056,1,2
707,3,5
5005,7,1
5463,8,1
1050,6,4
9563,7,1
2703,3,1
7279,3,1
932,2,2
392,1,2
10212,2,1
4084,1,1
5313,3,2
879,2,5
25812,8,1
11,1,13
9405,1,1
1269,6,2
2164,1,1
4058,6,1
5142,8,1
10775,2,1
776,10,2
13086,1,1
4187,3,1
6837,4,1
19003,8,1
2249,6,1
944,3,2
638,5,1
260,1,9
2908,4,1
10545,3,1
3338,2,1
21428,7,1
16757,2,1
954,10,1
476,3,5
4695,4,1
772,2,9
15419,4,1
7186,1,1
3093,2,1
752,8,2
3869,4,1
1451,3,6
480,4,1
4989,7,2
20391,3,1
4222,3,1
1563,8,1
22950,7,1
4011,9,1
13871,2,1
206,8,3
4122,7,1
3002,6,1
862,1,1
618,10,1
1027,7,5
4721,9,1
1790,1,1
5218,4,1
1380,7,7
363,6,18
11780,2,1
1043,6,1
268,4,4
1790,9,1
624,7,5
176,6,1
5799,3,1
1269,4,3
651,9,2
563,3,3
1002,6,1
7033,5,1
3987,1,3
674,1,2
976,8,1
14926,8,1
2317,6,1
1834,1,1
5429,1,1
832,10,2
3338,1,1
264,8,6
2467,2,1
2899,1,1
7064,3,1
305,4,2
314,6,2
11338,4,1
9344,2,3
2428,10,3
16886,4,1
1468,7,1
4815,1,1
123,6,7
1440,2,9
1122,6,2
1044,3,2
2048,3,2
331,10,2
2812,1,1
54,9,2
3344,7,2
3841,4,1
359,6,1
1520,4,1
919,3,2
7667,8,2
15408,6,1
9931,8,1
519,7,2
4209,3,1
6997,7,1
5567,3,2
1533,10,1
284,1,1
5940,1,1
1553,4,5
20818,6,1
3881,4,1
26904,3,1
3988,7,1
11407,3,1
4065,3,1
426,1,3
798,4,1
1135,4,1
6612,1,1
3898,5,1
5833,6,1
1756,3,1
335,1,1
4836,1,2
7269,9,1
1140,3,1
14744,6,1
3206,6,1
1303,8,2
2368,8,1
326,2,1
1266,9,1
1591,3,2
732,6,3
203,2,2
218,8,2
1166,1,3
793,4,1
5899,10,1
3475,8,1
3528,6,2
1268,9,1
175,4,2
3703,3,1
126,5,1
1624,10,4
25131,2,1
3056,3,2
2623,6,1
1872,9,1
148,4,6
1082,9,1
5699,3,2
4125,1,1
70,2,2
4088,3,1
6323,8,1
1152,2,4
1580,8,3
7063,10,1
1403,2,1
9683,2,1
188,2,4
1243,3,7
1763,9,1
3010,3,2
1503,2,1
15039,6,1
389,3,5
3245,8,1
1553,7,5
107,7,31
27064,4,1
4781,10,1
4370,2,1
2020,1,1
772,10,3
3188,9,1
5,9,27
79,3,3
16192,9,1
20704,1,1
974,2,7
4787,10,1
1729,7,1
300,6,1
3139,6,1
7996,10,1
7756,4,1
6025,9,1
25,4,23
1275,2,1
25,3,42
788,8,3
16146,6,1
820,1,5
16279,10,1
7413,2,1
9404,7,1
25229,9,1
2560,4,1
9874,10,1
4146,3,1
5245,3,1
1270,6,1
21099,4,1
1746,4,1
752,3,1
2412,1,2
5370,6,1
17864,7,1
7176,7,1
5125,6,1
726,1,1
778,7,2
5291,8,2
2519,1,2
495,5,4
17524,10,1
3870,3,1
17878,2,1
750,5,1
15049,3,1
839,7,3
25548,8,1
619,9,6
3577,6,2
1696,1,7
1086,3,1
2987,3,1
2204,3,2
1512,1,8
16544,10,2
142,6,2
1610,3,2
2836,2,8
1855,2,2
791,3,1
754,2,16
4652,3,2
2952,1,2
439,9,4
1063,3,1
156,2,20
793,6,3
445,9,2
3257,6,1
357,5,2
601,9,1
2680,2,1
9368,10,1
6511,7,1
4639,10,1
4050,1,2
422,10,4
11182,1,1
1650,1,1
231,10,4
6113,8,1
1336,10,1
3211,7,1
3344,10,1
14675,9,1
4698,7,1
580,9,7
11470,2,1
471,4,11
1333,9,2
1200,4,1
442,3,5
11661,6,1
1982,9,1
2845,7,2
907,7,1
1440,1,10
6624,1,1
2429,6,3
13043,10,1
1419,1,1
3393,5,1
143,3,1
9180,3,1
3131,5,1
17693,1,1
3501,6,1
497,2,1
1680,8,1
11181,8,1
7431,10,1
1073,1,3
574,8,1
97,4,1
2512,4,1
107,5,5
2330,9,3
436,8,4
780,8,1
40,7,1
505,7,3
1185,3,1
745,1,17
25652,10,1
11929,9,1
1580,7,2
9665,4,1
55,5,1
7756,2,1
2241,10,1
474,8,1
540,7,1
6249,7,1
27316,2,1
933,4,2
20235,6,1
1238,8,1
4417,7,1
14406,2,1
10736,8,1
295,4,1
7056,1,2
9451,2,1
2721,9,1
1773,6,2
2718,3,3
1113,4,1
1984,9,1
14187,6,1
16596,7,1
625,7,3
